wavelength,reflectance
350,0.9821
351,0.9835
352,0.9799
353,0.9849
354,0.9816
355,0.9823
356,0.9818
357,0.9808
358,0.9841
359,0.9806
360,0.9828
361,0.9804
362,0.9803
363,0.9801
364,0.9825
365,0.9796
366,0.9825
367,0.9818
368,0.9842
369,0.9821
370,0.981
371,0.9822
372,0.9867
373,0.9832
374,0.9816
375,0.9858
376,0.9839
377,0.9847
378,0.9848
379,0.9841
380,0.9844
381,0.9854
382,0.9846
383,0.9836
384,0.9846
385,0.9846
386,0.9846
387,0.9848
388,0.985
389,0.985
390,0.9853
391,0.985
392,0.9857
393,0.9851
394,0.9858
395,0.9861
396,0.9863
397,0.9865
398,0.9859
399,0.9862
400,0.987
401,0.9865
402,0.9869
403,0.9872
404,0.9873
405,0.9875
406,0.987
407,0.9872
408,0.9876
409,0.9879
410,0.9882
411,0.9883
412,0.988
413,0.9881
414,0.9883
415,0.9881
416,0.9882
417,0.9884
418,0.9879
419,0.9885
420,0.9885
421,0.9888
422,0.9891
423,0.9888
424,0.9885
425,0.988
426,0.9882
427,0.9886
428,0.9887
429,0.989
430,0.9887
431,0.9886
432,0.9887
433,0.9887
434,0.9888
435,0.9892
436,0.9892
437,0.9889
438,0.989
439,0.9889
440,0.9888
441,0.9891
442,0.9889
443,0.989
444,0.989
445,0.989
446,0.9889
447,0.9889
448,0.9888
449,0.9891
450,0.9891
451,0.9894
452,0.9894
453,0.9888
454,0.9891
455,0.9888
456,0.9888
457,0.9889
458,0.989
459,0.9889
460,0.9892
461,0.9893
462,0.9892
463,0.9893
464,0.9894
465,0.9892
466,0.9891
467,0.9891
468,0.989
469,0.9891
470,0.9892
471,0.9896
472,0.99
473,0.9898
474,0.9895
475,0.9896
476,0.9894
477,0.9893
478,0.9895
479,0.9896
480,0.9895
481,0.9897
482,0.9899
483,0.9902
484,0.9905
485,0.9908
486,0.991
487,0.991
488,0.991
489,0.9909
490,0.9909
491,0.9908
492,0.9904
493,0.9903
494,0.9904
495,0.9899
496,0.9902
497,0.9921
498,0.993
499,0.9922
500,0.9902
501,0.9891
502,0.9894
503,0.9894
504,0.9893
505,0.9894
506,0.9895
507,0.9891
508,0.989
509,0.9892
510,0.9894
511,0.9893
512,0.9894
513,0.9893
514,0.9894
515,0.9896
516,0.9896
517,0.9894
518,0.9896
519,0.9896
520,0.9896
521,0.9898
522,0.9898
523,0.9896
524,0.9897
525,0.99
526,0.99
527,0.9901
528,0.9899
529,0.9899
530,0.9901
531,0.9902
532,0.9901
533,0.9903
534,0.9903
535,0.9904
536,0.9906
537,0.9905
538,0.9903
539,0.9904
540,0.9904
541,0.9904
542,0.9904
543,0.9906
544,0.9907
545,0.9905
546,0.9904
547,0.9903
548,0.9906
549,0.9906
550,0.9906
551,0.9904
552,0.9905
553,0.9903
554,0.9903
555,0.9907
556,0.9905
557,0.9906
558,0.9906
559,0.9903
560,0.9904
561,0.9904
562,0.9903
563,0.9899
564,0.9901
565,0.9901
566,0.9899
567,0.99
568,0.9898
569,0.99
570,0.9901
571,0.9902
572,0.9901
573,0.9902
574,0.9899
575,0.9899
576,0.9901
577,0.9901
578,0.99
579,0.9902
580,0.9902
581,0.9903
582,0.9901
583,0.99
584,0.9898
585,0.9899
586,0.9897
587,0.9896
588,0.9898
589,0.9895
590,0.9898
591,0.99
592,0.9897
593,0.9894
594,0.9896
595,0.9899
596,0.9896
597,0.9895
598,0.9893
599,0.9895
600,0.9898
601,0.9899
602,0.9896
603,0.9899
604,0.9897
605,0.9896
606,0.9896
607,0.9894
608,0.9894
609,0.9893
610,0.9895
611,0.9897
612,0.9895
613,0.9895
614,0.9897
615,0.9898
616,0.9896
617,0.9894
618,0.9894
619,0.9895
620,0.9895
621,0.9897
622,0.9897
623,0.9895
624,0.9895
625,0.9897
626,0.9894
627,0.9895
628,0.9894
629,0.9896
630,0.9898
631,0.9897
632,0.9899
633,0.9896
634,0.9896
635,0.9897
636,0.9898
637,0.9894
638,0.9895
639,0.9896
640,0.9895
641,0.9898
642,0.9895
643,0.9894
644,0.9894
645,0.9895
646,0.9895
647,0.9896
648,0.9896
649,0.9896
650,0.9894
651,0.9895
652,0.9898
653,0.9896
654,0.9897
655,0.9894
656,0.9893
657,0.9895
658,0.9898
659,0.9895
660,0.9894
661,0.9897
662,0.9897
663,0.9895
664,0.9895
665,0.9897
666,0.9894
667,0.9896
668,0.9894
669,0.9895
670,0.9899
671,0.9898
672,0.9895
673,0.9895
674,0.9898
675,0.9897
676,0.9896
677,0.9898
678,0.9895
679,0.9896
680,0.9896
681,0.9895
682,0.9893
683,0.9895
684,0.9895
685,0.9895
686,0.9894
687,0.9892
688,0.9893
689,0.9896
690,0.9898
691,0.9898
692,0.9893
693,0.9897
694,0.9897
695,0.9896
696,0.9898
697,0.9897
698,0.9893
699,0.9896
700,0.9899
701,0.9895
702,0.9894
703,0.9896
704,0.9896
705,0.9896
706,0.9897
707,0.9899
708,0.9895
709,0.9895
710,0.9895
711,0.9896
712,0.9895
713,0.9894
714,0.9894
715,0.9896
716,0.9896
717,0.9895
718,0.9896
719,0.9893
720,0.9893
721,0.9896
722,0.9895
723,0.9892
724,0.9894
725,0.9896
726,0.9895
727,0.9895
728,0.9894
729,0.9894
730,0.9896
731,0.99
732,0.9901
733,0.9898
734,0.9893
735,0.9896
736,0.9901
737,0.9898
738,0.9897
739,0.99
740,0.99
741,0.9897
742,0.9892
743,0.9891
744,0.9892
745,0.9892
746,0.9894
747,0.9896
748,0.9893
749,0.9891
750,0.9894
751,0.9895
752,0.9898
753,0.9896
754,0.9895
755,0.9896
756,0.9895
757,0.9892
758,0.9892
759,0.989
760,0.9889
761,0.9889
762,0.9891
763,0.9893
764,0.9893
765,0.9895
766,0.9894
767,0.9888
768,0.9895
769,0.9901
770,0.9894
771,0.9888
772,0.9888
773,0.9887
774,0.9888
775,0.9887
776,0.989
777,0.989
778,0.9894
779,0.9888
780,0.9888
781,0.9891
782,0.989
783,0.9891
784,0.9891
785,0.9889
786,0.9891
787,0.9888
788,0.9895
789,0.9889
790,0.9892
791,0.9891
792,0.9896
793,0.9892
794,0.989
795,0.9893
796,0.9889
797,0.9886
798,0.9892
799,0.9895
800,0.9886
801,0.9888
802,0.9892
803,0.9896
804,0.9886
805,0.9889
806,0.988
807,0.9884
808,0.9888
809,0.9878
810,0.9886
811,0.9889
812,0.9885
813,0.9891
814,0.9887
815,0.9888
816,0.9885
817,0.9889
818,0.9887
819,0.9885
820,0.9886
821,0.9878
822,0.9885
823,0.9883
824,0.9898
825,0.9886
826,0.9889
827,0.9887
828,0.9887
829,0.9882
830,0.9894
831,0.9883
832,0.9886
833,0.9884
834,0.9879
835,0.9888
836,0.9877
837,0.989
838,0.9888
839,0.9886
840,0.9898
841,0.9899
842,0.9899
843,0.9884
844,0.9878
845,0.9889
846,0.9874
847,0.9887
848,0.9893
849,0.9882
850,0.9887
851,0.989
852,0.9896
853,0.9889
854,0.9882
855,0.9891
856,0.9883
857,0.9901
858,0.9891
859,0.9899
860,0.9917
861,0.9889
862,0.9887
863,0.9887
864,0.9887
865,0.9888
866,0.9886
867,0.9888
868,0.9887
869,0.9889
870,0.9889
871,0.9889
872,0.989
873,0.989
874,0.9888
875,0.9887
876,0.9887
877,0.9888
878,0.9888
879,0.9889
880,0.9887
881,0.9887
882,0.9886
883,0.9887
884,0.9889
885,0.989
886,0.9888
887,0.9887
888,0.9889
889,0.9889
890,0.9888
891,0.9888
892,0.9887
893,0.9886
894,0.9888
895,0.989
896,0.989
897,0.9891
898,0.989
899,0.9888
900,0.9887
901,0.9888
902,0.9886
903,0.9886
904,0.9887
905,0.9888
906,0.9889
907,0.9889
908,0.9889
909,0.9889
910,0.9889
911,0.9889
912,0.9888
913,0.9888
914,0.9889
915,0.9889
916,0.9887
917,0.9887
918,0.9887
919,0.9886
920,0.9885
921,0.9887
922,0.9886
923,0.9886
924,0.9887
925,0.9887
926,0.9888
927,0.9889
928,0.9889
929,0.9888
930,0.9888
931,0.9888
932,0.9889
933,0.9888
934,0.9887
935,0.9888
936,0.9888
937,0.9888
938,0.9888
939,0.9887
940,0.9887
941,0.9886
942,0.9887
943,0.9887
944,0.9887
945,0.9888
946,0.9888
947,0.9888
948,0.9889
949,0.9889
950,0.9888
951,0.9888
952,0.9889
953,0.9888
954,0.9888
955,0.9888
956,0.9888
957,0.9889
958,0.9889
959,0.9887
960,0.9886
961,0.9886
962,0.9886
963,0.9886
964,0.9885
965,0.9886
966,0.9887
967,0.9887
968,0.9886
969,0.9886
970,0.9887
971,0.9888
972,0.9888
973,0.9888
974,0.9888
975,0.9887
976,0.9886
977,0.9887
978,0.9886
979,0.9886
980,0.9886
981,0.9886
982,0.9886
983,0.9887
984,0.9887
985,0.9886
986,0.9886
987,0.9887
988,0.9888
989,0.9887
990,0.9888
991,0.9888
992,0.9889
993,0.9889
994,0.9888
995,0.9886
996,0.9885
997,0.9885
998,0.9886
999,0.9886
1000,0.9887
1001,0.9886
1002,0.9886
1003,0.9886
1004,0.9886
1005,0.9886
1006,0.9886
1007,0.9886
1008,0.9888
1009,0.9887
1010,0.9887
1011,0.9887
1012,0.9887
1013,0.9886
1014,0.9886
1015,0.9885
1016,0.9885
1017,0.9885
1018,0.9886
1019,0.9886
1020,0.9886
1021,0.9886
1022,0.9887
1023,0.9888
1024,0.9886
1025,0.9886
1026,0.9886
1027,0.9886
1028,0.9886
1029,0.9886
1030,0.9885
1031,0.9885
1032,0.9885
1033,0.9885
1034,0.9886
1035,0.9886
1036,0.9885
1037,0.9885
1038,0.9885
1039,0.9886
1040,0.9886
1041,0.9885
1042,0.9886
1043,0.9886
1044,0.9887
1045,0.9886
1046,0.9885
1047,0.9883
1048,0.9883
1049,0.9883
1050,0.9884
1051,0.9884
1052,0.9883
1053,0.9884
1054,0.9885
1055,0.9884
1056,0.9885
1057,0.9885
1058,0.9885
1059,0.9884
1060,0.9884
1061,0.9884
1062,0.9885
1063,0.9884
1064,0.9884
1065,0.9884
1066,0.9886
1067,0.9888
1068,0.9886
1069,0.9886
1070,0.9885
1071,0.9886
1072,0.9885
1073,0.9884
1074,0.9883
1075,0.9884
1076,0.9883
1077,0.9882
1078,0.9883
1079,0.9884
1080,0.9885
1081,0.9885
1082,0.9885
1083,0.9885
1084,0.9886
1085,0.9885
1086,0.9883
1087,0.9883
1088,0.9885
1089,0.9884
1090,0.9884
1091,0.9886
1092,0.9887
1093,0.9887
1094,0.9887
1095,0.9887
1096,0.9887
1097,0.9886
1098,0.9887
1099,0.9886
1100,0.9886
1101,0.9886
1102,0.9887
1103,0.9886
1104,0.9884
1105,0.9882
1106,0.9885
1107,0.9884
1108,0.9882
1109,0.9881
1110,0.9882
1111,0.9883
1112,0.9884
1113,0.9884
1114,0.9883
1115,0.9881
1116,0.9881
1117,0.9883
1118,0.9882
1119,0.9883
1120,0.9882
1121,0.9882
1122,0.9881
1123,0.9882
1124,0.9882
1125,0.9883
1126,0.9884
1127,0.9884
1128,0.9883
1129,0.9883
1130,0.9884
1131,0.9885
1132,0.9883
1133,0.9883
1134,0.9884
1135,0.9883
1136,0.9883
1137,0.9885
1138,0.9886
1139,0.9885
1140,0.9883
1141,0.9883
1142,0.9884
1143,0.9883
1144,0.9884
1145,0.9885
1146,0.9886
1147,0.9885
1148,0.9884
1149,0.9883
1150,0.9883
1151,0.9883
1152,0.9883
1153,0.9882
1154,0.9882
1155,0.9882
1156,0.988
1157,0.988
1158,0.9883
1159,0.9884
1160,0.9882
1161,0.9879
1162,0.9881
1163,0.9881
1164,0.9881
1165,0.9881
1166,0.988
1167,0.9879
1168,0.9878
1169,0.9879
1170,0.988
1171,0.9879
1172,0.9879
1173,0.988
1174,0.9877
1175,0.9876
1176,0.9877
1177,0.9877
1178,0.9876
1179,0.9877
1180,0.9878
1181,0.9878
1182,0.9878
1183,0.9878
1184,0.9877
1185,0.9875
1186,0.9874
1187,0.9874
1188,0.9874
1189,0.9874
1190,0.9873
1191,0.9872
1192,0.9873
1193,0.9874
1194,0.9874
1195,0.9875
1196,0.9874
1197,0.9874
1198,0.9875
1199,0.9875
1200,0.9874
1201,0.9874
1202,0.9874
1203,0.9873
1204,0.9872
1205,0.987
1206,0.987
1207,0.9872
1208,0.9873
1209,0.9873
1210,0.9872
1211,0.9869
1212,0.9869
1213,0.9871
1214,0.9872
1215,0.9872
1216,0.987
1217,0.987
1218,0.987
1219,0.9871
1220,0.9872
1221,0.9872
1222,0.9873
1223,0.9873
1224,0.9873
1225,0.9873
1226,0.9873
1227,0.9873
1228,0.9873
1229,0.9872
1230,0.9872
1231,0.9872
1232,0.9871
1233,0.9872
1234,0.9874
1235,0.9873
1236,0.9871
1237,0.9871
1238,0.9871
1239,0.9871
1240,0.9871
1241,0.9872
1242,0.9872
1243,0.9872
1244,0.9871
1245,0.9871
1246,0.9872
1247,0.9873
1248,0.9872
1249,0.987
1250,0.9871
1251,0.9871
1252,0.9872
1253,0.9873
1254,0.9873
1255,0.9873
1256,0.9872
1257,0.9871
1258,0.9871
1259,0.9871
1260,0.9872
1261,0.9871
1262,0.9871
1263,0.9872
1264,0.9871
1265,0.9869
1266,0.9867
1267,0.9868
1268,0.9869
1269,0.987
1270,0.9868
1271,0.9867
1272,0.9867
1273,0.9867
1274,0.9867
1275,0.9867
1276,0.9866
1277,0.9865
1278,0.9864
1279,0.9864
1280,0.9864
1281,0.9865
1282,0.9865
1283,0.9866
1284,0.9865
1285,0.9864
1286,0.9865
1287,0.9866
1288,0.9867
1289,0.9866
1290,0.9865
1291,0.9865
1292,0.9865
1293,0.9863
1294,0.9863
1295,0.9864
1296,0.9864
1297,0.9864
1298,0.9864
1299,0.9864
1300,0.9864
1301,0.9863
1302,0.9863
1303,0.9862
1304,0.986
1305,0.9859
1306,0.9859
1307,0.9859
1308,0.9859
1309,0.9858
1310,0.9858
1311,0.9859
1312,0.9858
1313,0.9859
1314,0.9859
1315,0.9859
1316,0.9858
1317,0.9856
1318,0.9856
1319,0.9857
1320,0.9857
1321,0.9857
1322,0.9856
1323,0.9856
1324,0.9856
1325,0.9857
1326,0.9857
1327,0.9856
1328,0.9856
1329,0.9856
1330,0.9856
1331,0.9857
1332,0.9855
1333,0.9854
1334,0.9853
1335,0.9853
1336,0.9852
1337,0.9853
1338,0.9852
1339,0.9852
1340,0.9851
1341,0.9849
1342,0.9848
1343,0.9848
1344,0.985
1345,0.9848
1346,0.9847
1347,0.9846
1348,0.9845
1349,0.9845
1350,0.9844
1351,0.9843
1352,0.9843
1353,0.9844
1354,0.9842
1355,0.984
1356,0.9839
1357,0.9838
1358,0.9838
1359,0.9839
1360,0.9841
1361,0.9842
1362,0.9843
1363,0.9843
1364,0.9843
1365,0.9844
1366,0.9844
1367,0.9843
1368,0.9844
1369,0.9845
1370,0.9843
1371,0.9843
1372,0.9843
1373,0.9844
1374,0.9845
1375,0.9846
1376,0.9847
1377,0.9846
1378,0.9846
1379,0.9844
1380,0.9845
1381,0.9845
1382,0.9845
1383,0.9847
1384,0.9849
1385,0.9851
1386,0.9848
1387,0.9847
1388,0.9846
1389,0.9845
1390,0.9845
1391,0.9846
1392,0.9846
1393,0.9846
1394,0.9846
1395,0.9847
1396,0.9848
1397,0.9848
1398,0.985
1399,0.985
1400,0.985
1401,0.985
1402,0.9847
1403,0.9849
1404,0.985
1405,0.9849
1406,0.9848
1407,0.9849
1408,0.9851
1409,0.9851
1410,0.9851
1411,0.9852
1412,0.9852
1413,0.9853
1414,0.9854
1415,0.9854
1416,0.9853
1417,0.9853
1418,0.9852
1419,0.9852
1420,0.9853
1421,0.9853
1422,0.9853
1423,0.9854
1424,0.9853
1425,0.9853
1426,0.9853
1427,0.9854
1428,0.9855
1429,0.9854
1430,0.9854
1431,0.9855
1432,0.9854
1433,0.9854
1434,0.9853
1435,0.9854
1436,0.9855
1437,0.9856
1438,0.9857
1439,0.9858
1440,0.9856
1441,0.9856
1442,0.9855
1443,0.9855
1444,0.9855
1445,0.9856
1446,0.9858
1447,0.9857
1448,0.9857
1449,0.9857
